timestamp_ms,block_number,last_variant,tx_count,warm_hits,cold_misses,warm_set_size,warm_hit_rate,scheduler_overhead_us,block_duration_ms,gc_young_delta_count,gc_old_delta_count,gc_young_delta_ms,gc_old_delta_ms,gc_total_delta_ms,gc_pause_ratio
1778561139262,1,DISABLED,0,0,0,0,0.0000,0,3,0,0,0,0,0,0.0000
1778561141154,2,DISABLED,80,0,0,0,0.0000,0,79,0,0,0,0,0,0.0000
1778561141314,3,DISABLED,17,0,0,0,0.0000,0,6,0,0,0,0,0,0.0000
1778561142326,4,DISABLED,120,0,0,0,0.0000,0,31,0,0,0,0,0,0.0000
1778561142724,5,DISABLED,50,0,0,0,0.0000,0,11,0,0,0,0,0,0.0000
1778561143159,6,DISABLED,58,0,0,0,0.0000,0,9,0,0,0,0,0,0.0000
1778561143607,7,DISABLED,5,0,0,0,0.0000,0,1,0,0,0,0,0,0.0000
1778561143720,8,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561143767,9,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561144090,10,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561144105,11,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561144490,12,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561144689,13,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561144820,14,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561144927,15,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561145298,16,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561145521,17,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561145669,18,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561145899,19,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561147033,20,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561147390,21,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561148113,22,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561148126,23,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561148612,24,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561149182,25,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561150001,26,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561151002,27,DISABLED,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778561152052,28,DISABLED,6,0,0,0,0.0000,0,51,0,0,0,0,0,0.0000
1778561153074,29,DISABLED,6,0,0,0,0.0000,0,60,0,0,0,0,0,0.0000
1778561154028,30,DISABLED,6,0,0,0,0.0000,0,26,0,0,0,0,0,0.0000
1778561155026,31,DISABLED,6,0,0,0,0.0000,0,23,0,0,0,0,0,0.0000
1778561156029,32,DISABLED,6,0,0,0,0.0000,0,28,0,0,0,0,0,0.0000
1778561157028,33,DISABLED,6,0,0,0,0.0000,0,26,0,0,0,0,0,0.0000
